,name,title
1905.07385v2,1905.07385v2,Representation Learning on Visual-Symbolic Graphs for Video Understanding
1301.7702v1,1301.7702v1,The Ciao clp(FD) Library. A Modular CLP Extension for Prolog
2107.00249v2,2107.00249v2,OPT: Omni-Perception Pre-Trainer for Cross-Modal Understanding and Generation
2007.13138v1,2007.13138v1,Virtual Multi-view Fusion for 3D Semantic Segmentation
2106.13195v1,2106.13195v1,FitVid: Overfitting in Pixel-Level Video Prediction
1511.04171v1,1511.04171v1,On the Control of Self-Balancing Unicycles
1904.07535v2,1904.07535v2,Doc2EDAG: An End-to-End Document-level Framework for Chinese Financial Event Extraction
1503.07139v2,1503.07139v2,Comparing Asynchronous $l$-Complete Approximations and Quotient Based Abstractions
1602.03483v1,1602.03483v1,Learning Distributed Representations of Sentences from Unlabelled Data
1607.07671v1,1607.07671v1,Region-based semantic segmentation with end-to-end training
2003.02541v2,2003.02541v2,A Balanced and Uncertainty-aware Approach for Partial Domain Adaptation
1311.4362v2,1311.4362v2,Sparse Identification of Posynomial Models
1008.0011v1,1008.0011v1,Parallel and distributed Gröbner bases computation in JAS
1808.02733v1,1808.02733v1,Debugging Neural Machine Translations
1409.7042v1,1409.7042v1,Adding Geographical Embedding to AS Topology Generation
1901.11117v4,1901.11117v4,The Evolved Transformer
1712.00726v1,1712.00726v1,Cascade R-CNN: Delving into High Quality Object Detection
1706.03358v3,1706.03358v3,Sliced Wasserstein Kernel for Persistence Diagrams
1304.5870v2,1304.5870v2,Parameterized Complexity of the Anchored k-Core Problem for Directed Graphs
2101.10837v1,2101.10837v1,Ikshana: A Theory of Human Scene Understanding Mechanism
2302.11813v1,2302.11813v1,Deep OC-SORT: Multi-Pedestrian Tracking by Adaptive Re-Identification
2009.05475v2,2009.05475v2,Adversarial score matching and improved sampling for image generation
